00039b         	NetChipTechn
00039c         	OptiMightCom
00039d         	Qisda
00039e         	TeraSystem
00039f         	Cisco
0003a0         	Cisco
0003a1         	HIPERInforma
0003a2         	CatapultComm
0003a3         	MAVIX
0003a4         	Imation
0003a5         	Medea
0003a6         	TraxitTechno
0003a7         	UnixtarTechn
0003a8         	IDOTComputer
0003a9         	AXCENTMedia
0003aa         	Watlow
0003ab         	BridgeInform
0003ac         	FroniusSchwe
0003ad         	EmersonEnerg
0003ae         	AlliedAdvanc
0003af         	ParageaCommu
0003b0         	XsenseTechno
0003b1         	ICUMedical
0003b2         	Radware
0003b3         	IALink
0003b4         	MacrotekInte
0003b5         	EntraTechnol
0003b6         	QSI
0003b7         	ZACCESS
0003b8         	NetKitSoluti
0003b9         	HualongTelec
0003ba         	Oracle
0003bb         	SignalCommun
0003bc         	COT
0003bd         	OmniClusterT
0003be         	Netility
0003bf         	CenterpointB
0003c0         	RFTNC
0003c1         	PacketDynami
0003c2         	Solphone
0003c3         	MicronikMult
0003c4         	TomraASA
0003c5         	Mobotix
0003c6         	ICUE
0003c7         	hopfElektron
0003c8         	CMLEmergency
0003c9         	TECOM
0003ca         	MTS
0003cb         	SystemGear
0003cc         	MomentumComp
0003cd         	Clovertech
0003ce         	ETENTechnolo
0003cf         	Muxcom
0003d0         	KOANKEISO
0003d1         	Takaya
0003d2         	Crossbeam
0003d3         	InternetEner
0003d4         	Alloptic
0003d5         	AdvancedComm
0003d6         	RADVision
0003d7         	NextNetWirel
0003d8         	iMPathNetwor
0003d9         	Secheron
0003da         	TakamisawaCy
0003db         	ApogeeElectr
0003dc         	LexarMedia
0003dd         	ComarkIntera
0003de         	OTCWireless
0003df         	Desana
0003e0         	ARRISGroup
0003e1         	WinmateCommu
0003e2         	Comspace
0003e3         	Cisco
0003e4         	Cisco
0003e5         	HermstedtSG
0003e6         	Entone
0003e7         	Logostek
0003e8         	Wavesight
0003e9         	AkaraCanada
0003ea         	MegaSystemTe
0003eb         	Atrica
0003ec         	ICGResearch
0003ed         	ShinkawaElec
0003ee         	MKNet
0003ef         	Oneline
0003f0         	RedfernBroad
0003f1         	CicadaSemico
0003f2         	SenecaNetwor
0003f3         	DazzleMultim
0003f4         	NetBurner
0003f5         	Chip2Chip
0003f6         	AllegroNetwo
0003f7         	PlastControl
0003f8         	SanCastleTec
0003f9         	PleiadesComm
0003fa         	TiMetraNetwo
0003fb         	ENEGATE
0003fc         	IntertexData
0003fd         	Cisco
0003fe         	Cisco
0003ff         	Microsoft
000400         	LexmarkInter
000401         	OsakiElectri
000402         	NexsanTechno
000403         	Nexsi
000404         	MakinoMillin
000405         	ACNTechnolog
000406         	FaMetabox
000407         	TopconPositi
000408         	SankoElectro
000409         	CratosNetwor
00040a         	Sage
00040b         	3ComEurope
00040c         	KannoWorks
00040d         	Avaya
00040e         	AVM
00040f         	AsusNetworkT
000410         	SpinnakerNet
000411         	InkraNetwork
000412         	WaveSmithNet
000413         	snomtechnolo
000414         	UmezawaMusen
000415         	Rasteme
000416         	ParksComunic
000417         	Elau
000418         	TeltronicU
000419         	FibercycleNe
00041a         	InesTestandM
00041b         	Bridgeworks
00041c         	ipDialog
00041d         	CoregaAmeric
00041e         	ShikokuInstr
00041f         	SonyInteract
000420         	SlimDevices
000421         	OcularNetwor
